ix,iy,x_m,y_m,depth_m
0,0,-500.000000,-500.000000,9.686767
1,0,-495.000000,-500.000000,9.640907
2,0,-490.000000,-500.000000,9.595693
3,0,-485.000000,-500.000000,9.551668
4,0,-480.000000,-500.000000,9.507901
5,0,-475.000000,-500.000000,9.464394
6,0,-470.000000,-500.000000,9.420888
7,0,-465.000000,-500.000000,9.377382
8,0,-460.000000,-500.000000,9.335701
9,0,-455.000000,-500.000000,9.294513
10,0,-450.000000,-500.000000,9.254130
11,0,-445.000000,-500.000000,9.213806
12,0,-440.000000,-500.000000,9.173481
13,0,-435.000000,-500.000000,9.133427
14,0,-430.000000,-500.000000,9.094316
15,0,-425.000000,-500.000000,9.055419
16,0,-420.000000,-500.000000,9.016885
17,0,-415.000000,-500.000000,8.978351
18,0,-410.000000,-500.000000,8.939817
19,0,-405.000000,-500.000000,8.900972
20,0,-400.000000,-500.000000,8.861966
21,0,-395.000000,-500.000000,8.822734
22,0,-390.000000,-500.000000,8.783448
23,0,-385.000000,-500.000000,8.744161
24,0,-380.000000,-500.000000,8.704772
25,0,-375.000000,-500.000000,8.664412
26,0,-370.000000,-500.000000,8.623862
27,0,-365.000000,-500.000000,8.582713
28,0,-360.000000,-500.000000,8.541564
29,0,-355.000000,-500.000000,8.500414
30,0,-350.000000,-500.000000,8.459172
31,0,-345.000000,-500.000000,8.417849
32,0,-340.000000,-500.000000,8.376420
33,0,-335.000000,-500.000000,8.334940
34,0,-330.000000,-500.000000,8.293459
35,0,-325.000000,-500.000000,8.251979
36,0,-320.000000,-500.000000,8.211669
37,0,-315.000000,-500.000000,8.171550
38,0,-310.000000,-500.000000,8.132619
39,0,-305.000000,-500.000000,8.093688
40,0,-300.000000,-500.000000,8.054757
41,0,-295.000000,-500.000000,8.016576
42,0,-290.000000,-500.000000,7.979506
43,0,-285.000000,-500.000000,7.943825
44,0,-280.000000,-500.000000,7.909286
45,0,-275.000000,-500.000000,7.874747
46,0,-270.000000,-500.000000,7.840208
47,0,-265.000000,-500.000000,7.806885
48,0,-260.000000,-500.000000,7.773794
49,0,-255.000000,-500.000000,7.743102
50,0,-250.000000,-500.000000,7.712448
51,0,-245.000000,-500.000000,7.681793
52,0,-240.000000,-500.000000,7.651299
53,0,-235.000000,-500.000000,7.621227
54,0,-230.000000,-500.000000,7.591670
55,0,-225.000000,-500.000000,7.562824
56,0,-220.000000,-500.000000,7.533978
57,0,-215.000000,-500.000000,7.505132
58,0,-210.000000,-500.000000,7.476329
59,0,-205.000000,-500.000000,7.447543
60,0,-200.000000,-500.000000,7.418896
61,0,-195.000000,-500.000000,7.390272
62,0,-190.000000,-500.000000,7.361648
63,0,-185.000000,-500.000000,7.333041
64,0,-180.000000,-500.000000,7.304528
65,0,-175.000000,-500.000000,7.276131
66,0,-170.000000,-500.000000,7.248012
67,0,-165.000000,-500.000000,7.219894
68,0,-160.000000,-500.000000,7.191775
69,0,-155.000000,-500.000000,7.163857
70,0,-150.000000,-500.000000,7.136082
71,0,-145.000000,-500.000000,7.109534
72,0,-140.000000,-500.000000,7.083444
73,0,-135.000000,-500.000000,7.057353
74,0,-130.000000,-500.000000,7.031269
75,0,-125.000000,-500.000000,7.005515
76,0,-120.000000,-500.000000,6.980174
77,0,-115.000000,-500.000000,6.956924
78,0,-110.000000,-500.000000,6.933675
79,0,-105.000000,-500.000000,6.910425
80,0,-100.000000,-500.000000,6.887231
81,0,-95.000000,-500.000000,6.864105
82,0,-90.000000,-500.000000,6.841994
83,0,-85.000000,-500.000000,6.820558
84,0,-80.000000,-500.000000,6.799122
85,0,-75.000000,-500.000000,6.777686
86,0,-70.000000,-500.000000,6.756250
87,0,-65.000000,-500.000000,6.734812
88,0,-60.000000,-500.000000,6.713335
89,0,-55.000000,-500.000000,6.691858
90,0,-50.000000,-500.000000,6.670382
91,0,-45.000000,-500.000000,6.648905
92,0,-40.000000,-500.000000,6.627429
93,0,-35.000000,-500.000000,6.605640
94,0,-30.000000,-500.000000,6.583502
95,0,-25.000000,-500.000000,6.561351
96,0,-20.000000,-500.000000,6.539190
97,0,-15.000000,-500.000000,6.517030
98,0,-10.000000,-500.000000,6.494869
99,0,-5.000000,-500.000000,6.473170
100,0,0.000000,-500.000000,6.451519
101,0,5.000000,-500.000000,6.429913
102,0,10.000000,-500.000000,6.408307
103,0,15.000000,-500.000000,6.386701
104,0,20.000000,-500.000000,6.365729
105,0,25.000000,-500.000000,6.345962
106,0,30.000000,-500.000000,6.326336
107,0,35.000000,-500.000000,6.306858
108,0,40.000000,-500.000000,6.287379
109,0,45.000000,-500.000000,6.267901
110,0,50.000000,-500.000000,6.249742
111,0,55.000000,-500.000000,6.231954
112,0,60.000000,-500.000000,6.214524
113,0,65.000000,-500.000000,6.197123
114,0,70.000000,-500.000000,6.179723
115,0,75.000000,-500.000000,6.162387
116,0,80.000000,-500.000000,6.145285
117,0,85.000000,-500.000000,6.128217
118,0,90.000000,-500.000000,6.111209
119,0,95.000000,-500.000000,6.094201
120,0,100.000000,-500.000000,6.077192
121,0,105.000000,-500.000000,6.059745
122,0,110.000000,-500.000000,6.042064
123,0,115.000000,-500.000000,6.024166
124,0,120.000000,-500.000000,6.006213
125,0,125.000000,-500.000000,5.988260
126,0,130.000000,-500.000000,5.970286
127,0,135.000000,-500.000000,5.952097
128,0,140.000000,-500.000000,5.933880
129,0,145.000000,-500.000000,5.915570
130,0,150.000000,-500.000000,5.897260
131,0,155.000000,-500.000000,5.878950
132,0,160.000000,-500.000000,5.861089
133,0,165.000000,-500.000000,5.843633
134,0,170.000000,-500.000000,5.826544
135,0,175.000000,-500.000000,5.809634
136,0,180.000000,-500.000000,5.792725
137,0,185.000000,-500.000000,5.775816
138,0,190.000000,-500.000000,5.760058
139,0,195.000000,-500.000000,5.744447
140,0,200.000000,-500.000000,5.729680
141,0,205.000000,-500.000000,5.714913
142,0,210.000000,-500.000000,5.700146
143,0,215.000000,-500.000000,5.685561
144,0,220.000000,-500.000000,5.671253
145,0,225.000000,-500.000000,5.657184
146,0,230.000000,-500.000000,5.643319
147,0,235.000000,-500.000000,5.629454
148,0,240.000000,-500.000000,5.615588
149,0,245.000000,-500.000000,5.601363
150,0,250.000000,-500.000000,5.587065
151,0,255.000000,-500.000000,5.572266
152,0,260.000000,-500.000000,5.557455
153,0,265.000000,-500.000000,5.542644
154,0,270.000000,-500.000000,5.527674
155,0,275.000000,-500.000000,5.512266
156,0,280.000000,-500.000000,5.496498
157,0,285.000000,-500.000000,5.480219
158,0,290.000000,-500.000000,5.463941
159,0,295.000000,-500.000000,5.447662
160,0,300.000000,-500.000000,5.431226
161,0,305.000000,-500.000000,5.414724
162,0,310.000000,-500.000000,5.397878
163,0,315.000000,-500.000000,5.380972
164,0,320.000000,-500.000000,5.364065
165,0,325.000000,-500.000000,5.347147
166,0,330.000000,-500.000000,5.330154
167,0,335.000000,-500.000000,5.313105
168,0,340.000000,-500.000000,5.295916
169,0,345.000000,-500.000000,5.278726
170,0,350.000000,-500.000000,5.261537
171,0,355.000000,-500.000000,5.244102
172,0,360.000000,-500.000000,5.226486
173,0,365.000000,-500.000000,5.207967
174,0,370.000000,-500.000000,5.189100
175,0,375.000000,-500.000000,5.170233
176,0,380.000000,-500.000000,5.151357
177,0,385.000000,-500.000000,5.131780
178,0,390.000000,-500.000000,5.111763
179,0,395.000000,-500.000000,5.089405
180,0,400.000000,-500.000000,5.067046
181,0,405.000000,-500.000000,5.044688
182,0,410.000000,-500.000000,5.022130
183,0,415.000000,-500.000000,4.999325
184,0,420.000000,-500.000000,4.975049
185,0,425.000000,-500.000000,4.949768
186,0,430.000000,-500.000000,4.924486
187,0,435.000000,-500.000000,4.899205
188,0,440.000000,-500.000000,4.874031
189,0,445.000000,-500.000000,4.848904
190,0,450.000000,-500.000000,4.824822
191,0,455.000000,-500.000000,4.800740
192,0,460.000000,-500.000000,4.776657
193,0,465.000000,-500.000000,4.752680
194,0,470.000000,-500.000000,4.728925
195,0,475.000000,-500.000000,4.708018
196,0,480.000000,-500.000000,4.690374
197,0,485.000000,-500.000000,4.672730
198,0,490.000000,-500.000000,4.655086
199,0,495.000000,-500.000000,4.637442
200,0,500.000000,-500.000000,4.619798
0,1,-500.000000,-495.000000,9.705219
1,1,-495.000000,-495.000000,9.659255
2,1,-490.000000,-495.000000,9.613917
3,1,-485.000000,-495.000000,9.569734
4,1,-480.000000,-495.000000,9.525802
5,1,-475.000000,-495.000000,9.482123
6,1,-470.000000,-495.000000,9.438443
7,1,-465.000000,-495.000000,9.394764
8,1,-460.000000,-495.000000,9.352971
9,1,-455.000000,-495.000000,9.311687
10,1,-450.000000,-495.000000,9.271234
11,1,-445.000000,-495.000000,9.230841
12,1,-440.000000,-495.000000,9.190448
13,1,-435.000000,-495.000000,9.150359
14,1,-430.000000,-495.000000,9.111326
15,1,-425.000000,-495.000000,9.072531
16,1,-420.000000,-495.000000,9.034143
17,1,-415.000000,-495.000000,8.995756
18,1,-410.000000,-495.000000,8.957368
19,1,-405.000000,-495.000000,8.918786
20,1,-400.000000,-495.000000,8.880103
21,1,-395.000000,-495.000000,8.841280
22,1,-390.000000,-495.000000,8.802422
23,1,-385.000000,-495.000000,8.763564
24,1,-380.000000,-495.000000,8.724620
25,1,-375.000000,-495.000000,8.684857
26,1,-370.000000,-495.000000,8.644933
27,1,-365.000000,-495.000000,8.604504
28,1,-360.000000,-495.000000,8.564075
29,1,-355.000000,-495.000000,8.523647
30,1,-350.000000,-495.000000,8.483180
31,1,-345.000000,-495.000000,8.442679
32,1,-340.000000,-495.000000,8.402134
33,1,-335.000000,-495.000000,8.361568
34,1,-330.000000,-495.000000,8.321003
35,1,-325.000000,-495.000000,8.280437
36,1,-320.000000,-495.000000,8.241033
37,1,-315.000000,-495.000000,8.201818
38,1,-310.000000,-495.000000,8.163783
39,1,-305.000000,-495.000000,8.125748
40,1,-300.000000,-495.000000,8.087713
41,1,-295.000000,-495.000000,8.050386
42,1,-290.000000,-495.000000,8.014107
43,1,-285.000000,-495.000000,7.979139
44,1,-280.000000,-495.000000,7.945248
45,1,-275.000000,-495.000000,7.911357
46,1,-270.000000,-495.000000,7.877466
47,1,-265.000000,-495.000000,7.844690
48,1,-260.000000,-495.000000,7.812128
49,1,-255.000000,-495.000000,7.781765
50,1,-250.000000,-495.000000,7.751436
51,1,-245.000000,-495.000000,7.721107
52,1,-240.000000,-495.000000,7.690923
53,1,-235.000000,-495.000000,7.661122
54,1,-230.000000,-495.000000,7.631789
55,1,-225.000000,-495.000000,7.603100
56,1,-220.000000,-495.000000,7.574410
57,1,-215.000000,-495.000000,7.545721
58,1,-210.000000,-495.000000,7.517086
59,1,-205.000000,-495.000000,7.488474
60,1,-200.000000,-495.000000,7.460040
61,1,-195.000000,-495.000000,7.431636
62,1,-190.000000,-495.000000,7.403231
63,1,-185.000000,-495.000000,7.374847
64,1,-180.000000,-495.000000,7.346578
65,1,-175.000000,-495.000000,7.318450
66,1,-170.000000,-495.000000,7.290661
67,1,-165.000000,-495.000000,7.262872
