ix,iy,x_m,y_m,depth_m
0,0,-500.000000,-500.000000,15.174041
1,0,-495.000000,-500.000000,15.150274
2,0,-490.000000,-500.000000,15.126507
3,0,-485.000000,-500.000000,15.102740
4,0,-480.000000,-500.000000,15.077633
5,0,-475.000000,-500.000000,15.046347
6,0,-470.000000,-500.000000,15.014931
7,0,-465.000000,-500.000000,14.983243
8,0,-460.000000,-500.000000,14.951555
9,0,-455.000000,-500.000000,14.919866
10,0,-450.000000,-500.000000,14.888423
11,0,-445.000000,-500.000000,14.857135
12,0,-440.000000,-500.000000,14.825881
13,0,-435.000000,-500.000000,14.794638
14,0,-430.000000,-500.000000,14.763395
15,0,-425.000000,-500.000000,14.732393
16,0,-420.000000,-500.000000,14.705961
17,0,-415.000000,-500.000000,14.679698
18,0,-410.000000,-500.000000,14.654132
19,0,-405.000000,-500.000000,14.628565
20,0,-400.000000,-500.000000,14.602999
21,0,-395.000000,-500.000000,14.578357
22,0,-390.000000,-500.000000,14.554691
23,0,-385.000000,-500.000000,14.531332
24,0,-380.000000,-500.000000,14.508151
25,0,-375.000000,-500.000000,14.484971
26,0,-370.000000,-500.000000,14.461790
27,0,-365.000000,-500.000000,14.434544
28,0,-360.000000,-500.000000,14.406854
29,0,-355.000000,-500.000000,14.377762
30,0,-350.000000,-500.000000,14.348670
31,0,-345.000000,-500.000000,14.319578
32,0,-340.000000,-500.000000,14.287934
33,0,-335.000000,-500.000000,14.251715
34,0,-330.000000,-500.000000,14.213922
35,0,-325.000000,-500.000000,14.174574
36,0,-320.000000,-500.000000,14.135227
37,0,-315.000000,-500.000000,14.095880
38,0,-310.000000,-500.000000,14.053400
39,0,-305.000000,-500.000000,14.010107
40,0,-300.000000,-500.000000,13.964766
41,0,-295.000000,-500.000000,13.919293
42,0,-290.000000,-500.000000,13.873820
43,0,-285.000000,-500.000000,13.828572
44,0,-280.000000,-500.000000,13.784078
45,0,-275.000000,-500.000000,13.739836
46,0,-270.000000,-500.000000,13.696014
47,0,-265.000000,-500.000000,13.652191
48,0,-260.000000,-500.000000,13.608369
49,0,-255.000000,-500.000000,13.566327
50,0,-250.000000,-500.000000,13.525177
51,0,-245.000000,-500.000000,13.485857
52,0,-240.000000,-500.000000,13.446961
53,0,-235.000000,-500.000000,13.408066
54,0,-230.000000,-500.000000,13.369253
55,0,-225.000000,-500.000000,13.331158
56,0,-220.000000,-500.000000,13.293269
57,0,-215.000000,-500.000000,13.256002
58,0,-210.000000,-500.000000,13.218735
59,0,-205.000000,-500.000000,13.181468
60,0,-200.000000,-500.000000,13.143570
61,0,-195.000000,-500.000000,13.105130
62,0,-190.000000,-500.000000,13.065672
63,0,-185.000000,-500.000000,13.025743
64,0,-180.000000,-500.000000,12.985813
65,0,-175.000000,-500.000000,12.945883
66,0,-170.000000,-500.000000,12.905128
67,0,-165.000000,-500.000000,12.864191
68,0,-160.000000,-500.000000,12.822086
69,0,-155.000000,-500.000000,12.779981
70,0,-150.000000,-500.000000,12.737876
71,0,-145.000000,-500.000000,12.696037
72,0,-140.000000,-500.000000,12.654580
73,0,-135.000000,-500.000000,12.613825
74,0,-130.000000,-500.000000,12.573632
75,0,-125.000000,-500.000000,12.533440
76,0,-120.000000,-500.000000,12.493247
77,0,-115.000000,-500.000000,12.453833
78,0,-110.000000,-500.000000,12.414560
79,0,-105.000000,-500.000000,12.377541
80,0,-100.000000,-500.000000,12.340541
81,0,-95.000000,-500.000000,12.303541
82,0,-90.000000,-500.000000,12.266423
83,0,-85.000000,-500.000000,12.229005
84,0,-80.000000,-500.000000,12.191014
85,0,-75.000000,-500.000000,12.152253
86,0,-70.000000,-500.000000,12.113493
87,0,-65.000000,-500.000000,12.074733
88,0,-60.000000,-500.000000,12.034798
89,0,-55.000000,-500.000000,11.994402
90,0,-50.000000,-500.000000,11.947842
91,0,-45.000000,-500.000000,11.900307
92,0,-40.000000,-500.000000,11.852773
93,0,-35.000000,-500.000000,11.805015
94,0,-30.000000,-500.000000,11.756038
95,0,-25.000000,-500.000000,11.704305
96,0,-20.000000,-500.000000,11.646127
97,0,-15.000000,-500.000000,11.587949
98,0,-10.000000,-500.000000,11.529771
99,0,-5.000000,-500.000000,11.471331
100,0,0.000000,-500.000000,11.412709
101,0,5.000000,-500.000000,11.350564
102,0,10.000000,-500.000000,11.287152
103,0,15.000000,-500.000000,11.223739
104,0,20.000000,-500.000000,11.160329
105,0,25.000000,-500.000000,11.097003
106,0,30.000000,-500.000000,11.034097
107,0,35.000000,-500.000000,10.973225
108,0,40.000000,-500.000000,10.912354
109,0,45.000000,-500.000000,10.851482
110,0,50.000000,-500.000000,10.790610
111,0,55.000000,-500.000000,10.729738
112,0,60.000000,-500.000000,10.672740
113,0,65.000000,-500.000000,10.618245
114,0,70.000000,-500.000000,10.563833
115,0,75.000000,-500.000000,10.509448
116,0,80.000000,-500.000000,10.455063
117,0,85.000000,-500.000000,10.400889
