ix,iy,x_m,y_m,depth_m
0,0,-500.000000,-500.000000,8.516628
1,0,-495.000000,-500.000000,8.461983
2,0,-490.000000,-500.000000,8.406726
3,0,-485.000000,-500.000000,8.350338
4,0,-480.000000,-500.000000,8.293706
5,0,-475.000000,-500.000000,8.236825
6,0,-470.000000,-500.000000,8.179945
7,0,-465.000000,-500.000000,8.123065
8,0,-460.000000,-500.000000,8.064514
9,0,-455.000000,-500.000000,8.005511
10,0,-450.000000,-500.000000,7.945773
11,0,-445.000000,-500.000000,7.885981
12,0,-440.000000,-500.000000,7.826189
13,0,-435.000000,-500.000000,7.765846
14,0,-430.000000,-500.000000,7.703584
15,0,-425.000000,-500.000000,7.640890
16,0,-420.000000,-500.000000,7.577456
17,0,-415.000000,-500.000000,7.514022
18,0,-410.000000,-500.000000,7.450587
19,0,-405.000000,-500.000000,7.385486
20,0,-400.000000,-500.000000,7.319525
21,0,-395.000000,-500.000000,7.252355
22,0,-390.000000,-500.000000,7.184891
23,0,-385.000000,-500.000000,7.117428
24,0,-380.000000,-500.000000,7.049780
25,0,-375.000000,-500.000000,6.980392
26,0,-370.000000,-500.000000,6.910664
27,0,-365.000000,-500.000000,6.839861
28,0,-360.000000,-500.000000,6.769059
29,0,-355.000000,-500.000000,6.698256
30,0,-350.000000,-500.000000,6.627217
31,0,-345.000000,-500.000000,6.555971
32,0,-340.000000,-500.000000,6.484454
33,0,-335.000000,-500.000000,6.412807
34,0,-330.000000,-500.000000,6.341160
35,0,-325.000000,-500.000000,6.269513
36,0,-320.000000,-500.000000,6.199345
37,0,-315.000000,-500.000000,6.129417
38,0,-310.000000,-500.000000,6.060991
39,0,-305.000000,-500.000000,5.992565
40,0,-300.000000,-500.000000,5.924138
41,0,-295.000000,-500.000000,5.856879
42,0,-290.000000,-500.000000,5.791344
43,0,-285.000000,-500.000000,5.727968
44,0,-280.000000,-500.000000,5.666366
45,0,-275.000000,-500.000000,5.604765
46,0,-270.000000,-500.000000,5.543164
47,0,-265.000000,-500.000000,5.483784
48,0,-260.000000,-500.000000,5.424829
49,0,-255.000000,-500.000000,5.370258
50,0,-250.000000,-500.000000,5.315755
51,0,-245.000000,-500.000000,5.261252
52,0,-240.000000,-500.000000,5.207051
53,0,-235.000000,-500.000000,5.153645
54,0,-230.000000,-500.000000,5.101211
55,0,-225.000000,-500.000000,5.050116
56,0,-220.000000,-500.000000,4.999021
57,0,-215.000000,-500.000000,4.947926
58,0,-210.000000,-500.000000,4.896737
59,0,-205.000000,-500.000000,4.845512
60,0,-200.000000,-500.000000,4.793985
61,0,-195.000000,-500.000000,4.742408
62,0,-190.000000,-500.000000,4.690832
63,0,-185.000000,-500.000000,4.639288
64,0,-180.000000,-500.000000,4.587936
65,0,-175.000000,-500.000000,4.536815
66,0,-170.000000,-500.000000,4.486256
67,0,-165.000000,-500.000000,4.435697
68,0,-160.000000,-500.000000,4.385138
69,0,-155.000000,-500.000000,4.335476
70,0,-150.000000,-500.000000,4.286455
71,0,-145.000000,-500.000000,4.242923
72,0,-140.000000,-500.000000,4.201434
73,0,-135.000000,-500.000000,4.159946
74,0,-130.000000,-500.000000,4.118497
75,0,-125.000000,-500.000000,4.079069
76,0,-120.000000,-500.000000,4.042162
77,0,-115.000000,-500.000000,4.018041
78,0,-110.000000,-500.000000,3.993919
79,0,-105.000000,-500.000000,3.969797
80,0,-100.000000,-500.000000,3.946216
81,0,-95.000000,-500.000000,3.923282
82,0,-90.000000,-500.000000,3.910154
83,0,-85.000000,-500.000000,3.903544
84,0,-80.000000,-500.000000,3.896934
85,0,-75.000000,-500.000000,3.890324
86,0,-70.000000,-500.000000,3.883838
87,0,-65.000000,-500.000000,3.877664
88,0,-60.000000,-500.000000,3.879276
89,0,-55.000000,-500.000000,3.880887
90,0,-50.000000,-500.000000,3.882499
91,0,-45.000000,-500.000000,3.884111
