ix,iy,x_m,y_m,depth_m
0,0,-500.000000,-500.000000,17.600225
1,0,-495.000000,-500.000000,17.540204
2,0,-490.000000,-500.000000,17.480184
3,0,-485.000000,-500.000000,17.420163
4,0,-480.000000,-500.000000,17.354215
5,0,-475.000000,-500.000000,17.260920
6,0,-470.000000,-500.000000,17.167049
7,0,-465.000000,-500.000000,17.071971
8,0,-460.000000,-500.000000,16.976894
9,0,-455.000000,-500.000000,16.881817
10,0,-450.000000,-500.000000,16.774247
11,0,-445.000000,-500.000000,16.658827
12,0,-440.000000,-500.000000,16.541659
13,0,-435.000000,-500.000000,16.423937
14,0,-430.000000,-500.000000,16.306215
15,0,-425.000000,-500.000000,16.188352
16,0,-420.000000,-500.000000,16.067817
17,0,-415.000000,-500.000000,15.947183
18,0,-410.000000,-500.000000,15.826142
19,0,-405.000000,-500.000000,15.705100
20,0,-400.000000,-500.000000,15.584059
21,0,-395.000000,-500.000000,15.466527
22,0,-390.000000,-500.000000,15.352706
23,0,-385.000000,-500.000000,15.240048
24,0,-380.000000,-500.000000,15.128070
25,0,-375.000000,-500.000000,15.016092
26,0,-370.000000,-500.000000,14.904114
27,0,-365.000000,-500.000000,14.797308
28,0,-360.000000,-500.000000,14.691067
29,0,-355.000000,-500.000000,14.586610
30,0,-350.000000,-500.000000,14.482153
31,0,-345.000000,-500.000000,14.377695
32,0,-340.000000,-500.000000,14.272574
33,0,-335.000000,-500.000000,14.166261
34,0,-330.000000,-500.000000,14.059538
35,0,-325.000000,-500.000000,13.952410
36,0,-320.000000,-500.000000,13.845282
37,0,-315.000000,-500.000000,13.738155
38,0,-310.000000,-500.000000,13.626091
39,0,-305.000000,-500.000000,13.512749
40,0,-300.000000,-500.000000,13.396179
41,0,-295.000000,-500.000000,13.279402
42,0,-290.000000,-500.000000,13.162625
43,0,-285.000000,-500.000000,13.045152
44,0,-280.000000,-500.000000,12.925353
45,0,-275.000000,-500.000000,12.804776
46,0,-270.000000,-500.000000,12.682904
47,0,-265.000000,-500.000000,12.561033
48,0,-260.000000,-500.000000,12.439161
49,0,-255.000000,-500.000000,12.320867
50,0,-250.000000,-500.000000,12.204365
51,0,-245.000000,-500.000000,12.091539
52,0,-240.000000,-500.000000,11.979568
53,0,-235.000000,-500.000000,11.867597
54,0,-230.000000,-500.000000,11.756939
55,0,-225.000000,-500.000000,11.657834
56,0,-220.000000,-500.000000,11.562022
57,0,-215.000000,-500.000000,11.476225
58,0,-210.000000,-500.000000,11.390429
59,0,-205.000000,-500.000000,11.304633
60,0,-200.000000,-500.000000,11.226735
61,0,-195.000000,-500.000000,11.155619
62,0,-190.000000,-500.000000,11.097236
63,0,-185.000000,-500.000000,11.044750
64,0,-180.000000,-500.000000,10.992265
65,0,-175.000000,-500.000000,10.939780
66,0,-170.000000,-500.000000,10.897674
67,0,-165.000000,-500.000000,10.857837
68,0,-160.000000,-500.000000,10.832685
69,0,-155.000000,-500.000000,10.807533
70,0,-150.000000,-500.000000,10.782382
71,0,-145.000000,-500.000000,10.759060
72,0,-140.000000,-500.000000,10.738370
73,0,-135.000000,-500.000000,10.722512
74,0,-130.000000,-500.000000,10.710521
75,0,-125.000000,-500.000000,10.698531
76,0,-120.000000,-500.000000,10.686541
77,0,-115.000000,-500.000000,10.674437
78,0,-110.000000,-500.000000,10.662312
79,0,-105.000000,-500.000000,10.649857
80,0,-100.000000,-500.000000,10.637400
81,0,-95.000000,-500.000000,10.624942
82,0,-90.000000,-500.000000,10.611945
83,0,-85.000000,-500.000000,10.597576
84,0,-80.000000,-500.000000,10.580580
85,0,-75.000000,-500.000000,10.560065
86,0,-70.000000,-500.000000,10.539550
87,0,-65.000000,-500.000000,10.519035
88,0,-60.000000,-500.000000,10.497234
89,0,-55.000000,-500.000000,10.474928
90,0,-50.000000,-500.000000,10.445877
91,0,-45.000000,-500.000000,10.415758
92,0,-40.000000,-500.000000,10.385639
93,0,-35.000000,-500.000000,10.355355
94,0,-30.000000,-500.000000,10.324162
95,0,-25.000000,-500.000000,10.290918
96,0,-20.000000,-500.000000,10.252877
97,0,-15.000000,-500.000000,10.214835
98,0,-10.000000,-500.000000,10.176793
99,0,-5.000000,-500.000000,10.138475
100,0,0.000000,-500.000000,10.099964
101,0,5.000000,-500.000000,10.057731
102,0,10.000000,-500.000000,10.014158
103,0,15.000000,-500.000000,9.970585
104,0,20.000000,-500.000000,9.927008
105,0,25.000000,-500.000000,9.883313
106,0,30.000000,-500.000000,9.839022
107,0,35.000000,-500.000000,9.791848
108,0,40.000000,-500.000000,9.744675
109,0,45.000000,-500.000000,9.697501
110,0,50.000000,-500.000000,9.650328
111,0,55.000000,-500.000000,9.603154
112,0,60.000000,-500.000000,9.554565
113,0,65.000000,-500.000000,9.505060
114,0,70.000000,-500.000000,9.455524
115,0,75.000000,-500.000000,9.405979
116,0,80.000000,-500.000000,9.356434
117,0,85.000000,-500.000000,9.306818
118,0,90.000000,-500.000000,9.255645
119,0,95.000000,-500.000000,9.204449
120,0,100.000000,-500.000000,9.153158
121,0,105.000000,-500.000000,9.101866
122,0,110.000000,-500.000000,9.050574
123,0,115.000000,-500.000000,8.998614
124,0,120.000000,-500.000000,8.945927
125,0,125.000000,-500.000000,8.893123
126,0,130.000000,-500.000000,8.840249
127,0,135.000000,-500.000000,8.787374
128,0,140.000000,-500.000000,8.734500
129,0,145.000000,-500.000000,8.680280
130,0,150.000000,-500.000000,8.625917
131,0,155.000000,-500.000000,8.571272
132,0,160.000000,-500.000000,8.516628
133,0,165.000000,-500.000000,8.461983
134,0,170.000000,-500.000000,8.406726
135,0,175.000000,-500.000000,8.350338
136,0,180.000000,-500.000000,8.293706
137,0,185.000000,-500.000000,8.236825
138,0,190.000000,-500.000000,8.179945
139,0,195.000000,-500.000000,8.123065
140,0,200.000000,-500.000000,8.064514
141,0,205.000000,-500.000000,8.005511
142,0,210.000000,-500.000000,7.945773
143,0,215.000000,-500.000000,7.885981
144,0,220.000000,-500.000000,7.826189
145,0,225.000000,-500.000000,7.765846
146,0,230.000000,-500.000000,7.703584
147,0,235.000000,-500.000000,7.640890
148,0,240.000000,-500.000000,7.577456
149,0,245.000000,-500.000000,7.514022
150,0,250.000000,-500.000000,7.450587
151,0,255.000000,-500.000000,7.385486
152,0,260.000000,-500.000000,7.319525
153,0,265.000000,-500.000000,7.252355
154,0,270.000000,-500.000000,7.184891
155,0,275.000000,-500.000000,7.117428
156,0,280.000000,-500.000000,7.049780
157,0,285.000000,-500.000000,6.980392
158,0,290.000000,-500.000000,6.910664
159,0,295.000000,-500.000000,6.839861
160,0,300.000000,-500.000000,6.769059
161,0,305.000000,-500.000000,6.698256
162,0,310.000000,-500.000000,6.627217
163,0,315.000000,-500.000000,6.555971
164,0,320.000000,-500.000000,6.484454
165,0,325.000000,-500.000000,6.412807
166,0,330.000000,-500.000000,6.341160
167,0,335.000000,-500.000000,6.269513
168,0,340.000000,-500.000000,6.199345
169,0,345.000000,-500.000000,6.129417
170,0,350.000000,-500.000000,6.060991
171,0,355.000000,-500.000000,5.992565
172,0,360.000000,-500.000000,5.924138
173,0,365.000000,-500.000000,5.856879
174,0,370.000000,-500.000000,5.791344
175,0,375.000000,-500.000000,5.727968
176,0,380.000000,-500.000000,5.666366
177,0,385.000000,-500.000000,5.604765
178,0,390.000000,-500.000000,5.543164
179,0,395.000000,-500.000000,5.483784
180,0,400.000000,-500.000000,5.424829
181,0,405.000000,-500.000000,5.370258
182,0,410.000000,-500.000000,5.315755
183,0,415.000000,-500.000000,5.261252
184,0,420.000000,-500.000000,5.207051
185,0,425.000000,-500.000000,5.153645
186,0,430.000000,-500.000000,5.101211
187,0,435.000000,-500.000000,5.050116
188,0,440.000000,-500.000000,4.999021
189,0,445.000000,-500.000000,4.947926
190,0,450.000000,-500.000000,4.896737
191,0,455.000000,-500.000000,4.845512
192,0,460.000000,-500.000000,4.793985
193,0,465.000000,-500.000000,4.742408
194,0,470.000000,-500.000000,4.690832
195,0,475.000000,-500.000000,4.639288
196,0,480.000000,-500.000000,4.587936
197,0,485.000000,-500.000000,4.536815
198,0,490.000000,-500.000000,4.486256
199,0,495.000000,-500.000000,4.435697
200,0,500.000000,-500.000000,4.385138
0,1,-500.000000,-495.000000,17.586209
1,1,-495.000000,-495.000000,17.527867
2,1,-490.000000,-495.000000,17.469525
3,1,-485.000000,-495.000000,17.411183
4,1,-480.000000,-495.000000,17.347160
5,1,-475.000000,-495.000000,17.256931
6,1,-470.000000,-495.000000,17.166149
7,1,-465.000000,-495.000000,17.074211
8,1,-460.000000,-495.000000,16.982273
9,1,-455.000000,-495.000000,16.890336
10,1,-450.000000,-495.000000,16.786682
11,1,-445.000000,-495.000000,16.675668
12,1,-440.000000,-495.000000,16.563013
13,1,-435.000000,-495.000000,16.449839
14,1,-430.000000,-495.000000,16.336665
15,1,-425.000000,-495.000000,16.223373
16,1,-420.000000,-495.000000,16.107863
17,1,-415.000000,-495.000000,15.992270
18,1,-410.000000,-495.000000,15.876339
19,1,-405.000000,-495.000000,15.760407
20,1,-400.000000,-495.000000,15.644476
21,1,-395.000000,-495.000000,15.531715
22,1,-390.000000,-495.000000,15.422305
23,1,-385.000000,-495.000000,15.313946
24,1,-380.000000,-495.000000,15.206201
25,1,-375.000000,-495.000000,15.098456
26,1,-370.000000,-495.000000,14.990711
27,1,-365.000000,-495.000000,14.886652
28,1,-360.000000,-495.000000,14.782996
29,1,-355.000000,-495.000000,14.680610
30,1,-350.000000,-495.000000,14.578225
31,1,-345.000000,-495.000000,14.475840
32,1,-340.000000,-495.000000,14.372178
