ix,iy,x_m,y_m,depth_m
0,0,-250.000000,-250.000000,7.520032
1,0,-245.000000,-250.000000,7.501056
2,0,-240.000000,-250.000000,7.482071
3,0,-235.000000,-250.000000,7.463086
4,0,-230.000000,-250.000000,7.444101
5,0,-225.000000,-250.000000,7.425245
6,0,-220.000000,-250.000000,7.406403
7,0,-215.000000,-250.000000,7.387573
8,0,-210.000000,-250.000000,7.368743
9,0,-205.000000,-250.000000,7.349913
10,0,-200.000000,-250.000000,7.331204
11,0,-195.000000,-250.000000,7.312725
12,0,-190.000000,-250.000000,7.294273
13,0,-185.000000,-250.000000,7.275849
14,0,-180.000000,-250.000000,7.257425
15,0,-175.000000,-250.000000,7.239001
16,0,-170.000000,-250.000000,7.220313
17,0,-165.000000,-250.000000,7.201552
18,0,-160.000000,-250.000000,7.182719
19,0,-155.000000,-250.000000,7.163880
20,0,-150.000000,-250.000000,7.145042
21,0,-145.000000,-250.000000,7.125975
22,0,-140.000000,-250.000000,7.106083
23,0,-135.000000,-250.000000,7.086073
24,0,-130.000000,-250.000000,7.065854
25,0,-125.000000,-250.000000,7.045635
26,0,-120.000000,-250.000000,7.025416
27,0,-115.000000,-250.000000,7.004680
28,0,-110.000000,-250.000000,6.983667
29,0,-105.000000,-250.000000,6.962399
30,0,-100.000000,-250.000000,6.941066
31,0,-95.000000,-250.000000,6.919733
32,0,-90.000000,-250.000000,6.898432
33,0,-85.000000,-250.000000,6.877466
34,0,-80.000000,-250.000000,6.856543
35,0,-75.000000,-250.000000,6.835765
36,0,-70.000000,-250.000000,6.814986
37,0,-65.000000,-250.000000,6.794207
38,0,-60.000000,-250.000000,6.774110
39,0,-55.000000,-250.000000,6.754630
40,0,-50.000000,-250.000000,6.735705
41,0,-45.000000,-250.000000,6.717055
42,0,-40.000000,-250.000000,6.698404
43,0,-35.000000,-250.000000,6.679753
44,0,-30.000000,-250.000000,6.662156
45,0,-25.000000,-250.000000,6.644693
46,0,-20.000000,-250.000000,6.628003
47,0,-15.000000,-250.000000,6.611312
48,0,-10.000000,-250.000000,6.594622
49,0,-5.000000,-250.000000,6.577976
50,0,0.000000,-250.000000,6.561398
51,0,5.000000,-250.000000,6.544878
52,0,10.000000,-250.000000,6.528409
53,0,15.000000,-250.000000,6.511939
54,0,20.000000,-250.000000,6.495469
55,0,25.000000,-250.000000,6.478581
56,0,30.000000,-250.000000,6.461609
57,0,35.000000,-250.000000,6.444055
58,0,40.000000,-250.000000,6.426488
59,0,45.000000,-250.000000,6.408920
